Crisis 1 - Card Name,Card Type,Cost,VP,Def,Atk,Draw,Destroy,Ongoing,Card Text,Copies
Animal Man,Hero,4,1,,,x,,,"+2 Power and choose a card type. Reveal the top card of your deck. If it has that card type, draw it.",3
Captain Atom,Hero,6,2,,,,,,"You may gain a card with cost 4 or less from the Line-Up, and then put it into any player's hand. If you choose not, to +2 Power.",2
John Constantine,Hero,5,1,,,x,x,,Reveal the top two cards of your deck and draw one of them. Put the other on top of your deck or destroy it.,2
Avatar of the Rot,Villain,7,3,,x,,,,+3 Power. Attack: Each foe gains two Weakness cards.,1
Killer Frost,Villain,4,1,,x,x,,,"+1 Power. Attack: Each foe puts a Location he controls into his discard pile. If none do, draw a card.",2
Psycho Pirate,Villain,4,1,,x,,,,+2 Power. Each foe reveals his hand and discards cards until his hand contains no duplicate cards.,2
Strife,Villain,3,1,,x,,,,"You may gain a card from the Line-Up with the same name as a card in your hand. If you choose not to, +1 Power. Attack: Each foe reveals his hand and discards each card with the same name as a card in the Line-Up.",2
Flight,Super Power,2,1,x,,,,,"+1 Power. Defense: You may discard this card to avoid an Attack. If you do, you may put a card from your discard pile on top of your deck.",4
Magic ,Super Power,5,1,,,,x,,"Choose a card you played this turn. Play it again this turn, and then destroy it. (Its effects remain.)",2
Power of the Red,Super Power,4,1,,,x,,,"Discard any number of cards, then draw that many cards.",3
Bo Staff,Equipment,3,1,,,,,,"+3 Power if there are one or more Villains in the Line-Up. Otherwise, +2 Power.",2
Magician's Corset,Equipment,5,1,,,x,,,Choose any number of players. Each of those players draws a card. +1 Power for each player who draws a card this way (including you).,1
Quiver of Arrows,Equipment,1,1,,,,,,Choose any number of players. Each of those players reveals the top card of his deck and may discard it.,2
Signature Trenchcoat,Equipment,4,1,,,,,,"You may gain a card with cost 5 or less from the destroyed pile. IF you choose not to,  +2 Power.",2
House of Mystery,Location,4,1,,,x,,x,"Ongoing: The first time you play a card with cost 5 or greater during each of your turns, draw a card.",1
The Rot,Location,4,1,,,x,,x,"Ongoing: The first time you play a Weakness or Vulnerability during each of your turns, draw a card.",1
,,,,,,,,,,
Ra's Al Ghul (Impossible Mode),Super-Villain,9,4,,,,,,"+4 Power. At the end of your turn, put this card onto the bottom of its owner's deck before drawing a new hand. Stack Ongoing: At the end of your turn, if you did not buy or gain a card from the Line-Up, add the top card of the main deck to the Line-Up.",
